"age","job","marital","education","default","balance","housing","loan","contact","y","price"
53,"retired","married","primary","no",383,"yes","no","unknown","no",51
25,"technician","single","tertiary","no",777,"yes","no","unknown","no",61
50,"management","married","secondary","no",0,"yes","no","unknown","no",33
35,"blue-collar","married","secondary","no",1522,"yes","yes","unknown","no",55
53,"management","","tertiary","no",4446,"yes","no","unknown","no",82
41,"blue-collar","married","secondary","no",923,"yes","no","unknown","no",11
41,"admin.","married","secondary","no",1309,"yes","no","unknown","no",35
42,"management","married","tertiary","no",1340,"yes","no","unknown","no",55
47,"management","married","","no",3158,"yes","no","unknown","no",80
48,"blue-collar","married","secondary","no",1596,"yes","no","unknown","ye",57
43,"blue-collar","married","primary","no",887,"yes","no","unknown","no",50
55,"management","married","tertiary","no",23189,"","no","unknown","no",70
40,"admin.","married","secondary","no",1010,"yes","no","unknown","no",47
45,"blue-collar","married","primary","no",246,"yes","no","unknown","no",45
54,"retired","","secondary","no",918,"yes","no","unknown","no",30
46,"blue-collar","married","primary","no",1429,"yes","no","unknown","no",61
57,"retired","divorced","primary","no",2439,"yes","no","unknown","no",77
49,"entrepreneur","married","secondary","no",348,"yes","no","unknown","no",35
49,"","married","secondary","no",387,"yes","no","unknown","no",64
41,"blue-collar","single","primary","no",22,"yes","no","unknown","no",54
42,"self-employe","married","primary","no",3641,"yes","no","unknown","no",60
42,"management","single","secondary","no",2535,"","no","unknown","no",69
49,"technician","married","primary","no",1878,"yes","no","unknown","no",59
42,"blue-collar","married","secondary","no",3,"yes","no","unknown","no",31
34,"unemployed","single","secondary","no",9,"yes","no","unknown","no",73
31,"blue-collar","married","primary","no",502,"yes","no","unknown","no",48
38,"admin.","married","secondary","no",3634,"yes","no","unknown","no",38
45,"technician","married","secondary","no",3395,"","no","unknown","no",29
33,"","single","secondary","no",673,"yes","no","unknown","no",68
53,"blue-collar","married","primary","no",600,"yes","no","unknown","no",32
43,"unemployed","","primary","no",698,"","no","unknown","no",66
40,"blue-collar","divorced","secondary","no",2540,"yes","no","unknown","no",35
34,"blue-collar","married","primary","no",357,"yes","no","unknown","no",56
40,"technician","married","secondary","no",782,"yes","","unknown","no",24
41,"blue-collar","married","primary","no",2097,"yes","no","unknown","no",69
44,"blue-collar","single","unknown","no",-101,"yes","no","unknown","no",74
57,"admin.","divorced","primary","no",628,"yes","yes","unknown","no",61
42,"technician","married","secondary","no",0,"yes","no","unknown","no",20
57,"services","married","secondary","no",6874,"yes","no","unknown","no",62
43,"blue-collar","divorced","secondary","no",16,"yes","no","unknown","no",25
45,"blue-collar","married","primary","no",1691,"yes","no","unknown","no",70
60,"","married","primary","no",1542,"yes","no","unknown","ye",105
41,"blue-collar","married","unknown","no",1057,"yes","no","unknown","no",64
49,"blue-collar","married","primary","",11317,"yes","no","unknown","no",77
57,"admin.","married","secondary","yes",-1300,"no","no","unknown","no",71
41,"services","married","primary","no",299,"yes","no","unknown","no",46
33,"technician","single","secondary","no",189,"yes","no","unknown","no",43
56,"blue-collar","married","secondary","no",1412,"yes","no","unknown","no",36
49,"blue-collar","married","primary","",0,"yes","no","unknown","no",47
41,"blue-collar","married","secondary","no",235,"yes","no","unknown","no",30
48,"management","married","tertiary","no",20718,"yes","no","unknown","no",97
41,"technician","married","secondary","no",1043,"yes","yes","unknown","no",56
41,"services","married","secondary","no",890,"yes","no","unknown","no",17
30,"technician","single","secondary","no",768,"no","yes","unknown","no",71
52,"entrepreneur","married","tertiary","no",618,"yes","yes","unknown","no",90
40,"","married","secondary","no",1313,"no","no","unknown","no",95
60,"retired","married","secondary","no",3932,"yes","no","unknown","no",40
28,"management","","tertiary","no",334,"yes","no","unknown","no",65
44,"self-employe","divorced","secondary","no",80,"yes","yes","unknown","no",23
44,"technician","single","secondary","no",-27,"yes","yes","unknown","no",61
32,"blue-collar","single","secondary","no",2285,"yes","no","unknown","no",79
53,"management","married","tertiary","no",193,"no","no","unknown","no",71
41,"services","divorced","secondary","yes",-198,"no","yes","unknown","no",78
57,"retired","married","tertiary","no",1180,"yes","yes","unknown","no",83
42,"blue-collar","","primary","no",505,"yes","no","unknown","no",30
31,"management","married","","no",6943,"yes","no","unknown","no",103
46,"blue-collar","married","secondary","no",243,"yes","yes","unknown","no",27
40,"","single","unknown","no",3652,"yes","no","unknown","ye",125
46,"technician","divorced","secondary","no",3455,"yes","no","unknown","no",34
55,"self-employe","single","secondary","no",2607,"yes","no","unknown","no",71
52,"blue-collar","single","primary","no",2024,"yes","no","unknown","no",100
50,"management","married","secondary","no",0,"yes","no","unknown","no",32
57,"retired","married","secondary","no",-222,"no","no","unknown","no",39
28,"blue-collar","married","secondary","no",1238,"yes","no","unknown","no",51
46,"blue-collar","married","secondary","no",33,"yes","no","unknown","no",36
40,"admin.","divorced","secondary","no",1000,"yes","no","unknown","no",17
42,"blue-collar","married","secondary","no",881,"yes","no","unknown","no",21
48,"services","divorced","secondary","no",403,"yes","no","unknown","no",33
36,"management","single","tertiary","no",-38,"yes","no","unknown","no",53
37,"technician","married","tertiary","yes",0,"yes","no","unknown","no",54
41,"","married","tertiary","no",221,"yes","no","unknown","no",49
43,"blue-collar","married","secondary","no",1109,"yes","no","unknown","no",59
40,"entrepreneur","married","secondary","no",1416,"yes","no","unknown","no",51
40,"entrepreneur","married","secondary","no",264,"yes","no","unknown","no",23
45,"blue-collar","married","secondary","no",141,"yes","yes","unknown","no",38
44,"blue-collar","married","secondary","",1944,"yes","no","unknown","no",40
53,"entrepreneur","married","primary","no",694,"yes","no","unknown","no",60
31,"management","married","tertiary","no",303,"yes","no","unknown","no",66
50,"blue-collar","married","secondary","no",2087,"yes","no","unknown","no",50
53,"management","married","tertiary","no",369,"yes","yes","unknown","no",63
56,"blue-collar","divorced","secondary","no",166,"yes","no","unknown","no",26
45,"technician","married","primary","no",718,"yes","no","unknown","no",46
47,"self-employe","married","tertiary","no",4543,"yes","no","unknown","no",68
33,"admin.","single","secondary","no",1613,"yes","no","unknown","no",56
57,"technician","married","","no",-1,"no","no","unknown","ye",81
45,"","single","tertiary","no",1410,"yes","no","unknown","no",94
34,"blue-collar","married","secondary","no",577,"no","no","unknown","no",31
49,"entrepreneur","married","primary","no",-63,"yes","no","unknown","no",51
49,"","married","secondary","no",892,"no","no","unknown","no",64
37,"admin.","divorced","","no",-113,"yes","no","unknown","no",45
57,"technician","married","secondary","no",3240,"yes","no","unknown","no",39
40,"blue-collar","married","primary","no",3658,"yes","no","unknown","no",66
57,"retired","married","secondary","no",3545,"yes","no","unknown","no",41
45,"unemployed","married","primary","no",1292,"yes","no","unknown","no",81
51,"retired","married","secondary","no",4248,"yes","no","unknown","no",61
54,"management","divorced","secondary","",155,"yes","no","unknown","no",28
46,"blue-collar","married","primary","no",501,"yes","no","unknown","no",54
51,"admin.","","primary","no",658,"yes","no","unknown","no",67
42,"","married","secondary","no",3743,"yes","no","unknown","no",46
42,"blue-collar","married","primary","no",329,"yes","no","unknown","no",47
60,"management","married","primary","no",703,"yes","no","unknown","no",31
44,"blue-collar","married","primary","no",7735,"yes","no","unknown","no",78
41,"","married","primary","no",455,"yes","no","unknown","no",56
55,"blue-collar","married","secondary","",831,"yes","no","unknown","no",23
46,"services","married","secondary","no",1757,"yes","no","unknown","no",48
54,"blue-collar","married","secondary","no",1480,"yes","no","unknown","no",47
34,"blue-collar","married","secondary","no",7180,"yes","no","unknown","ye",82
47,"services","divorced","secondary","no",4906,"yes","no","unknown","no",59
35,"management","single","tertiary","no",592,"no","yes","unknown","no",109
30,"blue-collar","married","secondary","no",128,"yes","no","unknown","no",25
32,"management","single","secondary","no",160,"yes","no","unknown","no",47
35,"blue-collar","married","primary","no",441,"yes","no","unknown","no",34
48,"blue-collar","single","secondary","",8982,"yes","no","unknown","no",80
36,"services","married","secondary","no",338,"no","no","unknown","no",41
53,"services","married","secondary","no",10749,"yes","no","unknown","no",55
48,"technician","married","secondary","no",638,"yes","no","unknown","no",16
42,"services","married","secondary","no",737,"yes","no","unknown","no",32
38,"services","single","secondary","no",7695,"yes","no","unknown","no",86
32,"","single","secondary","no",91,"yes","no","unknown","no",52
51,"unemployed","married","secondary","no",760,"","no","unknown","no",41
34,"blue-collar","married","secondary","no",683,"yes","no","unknown","no",28
43,"","married","secondary","no",1311,"yes","no","unknown","no",59
50,"blue-collar","married","secondary","no",606,"yes","no","unknown","no",29
44,"blue-collar","married","primary","no",289,"yes","no","unknown","no",49
25,"services","single","secondary","no",192,"yes","no","unknown","no",40
60,"blue-collar","married","secondary","no",751,"yes","no","unknown","no",21
32,"technician","single","unknown","no",10600,"no","no","unknown","no",129
44,"admin.","married","secondary","no",447,"yes","yes","unknown","no",45
26,"student","single","secondary","no",3096,"yes","no","unknown","no",91
36,"","married","secondary","no",998,"yes","no","unknown","no",61
33,"entrepreneur","single","tertiary","no",303,"yes","no","unknown","no",86
29,"management","single","tertiary","no",1952,"yes","no","unknown","no",85
42,"blue-collar","married","secondary","no",171,"yes","no","unknown","no",37
32,"blue-collar","single","secondary","no",116,"no","no","unknown","no",64
37,"admin.","married","secondary","no",766,"yes","no","unknown","no",29
50,"admin.","divorced","secondary","yes",-500,"yes","no","unknown","no",49
44,"blue-collar","married","secondary","no",2017,"yes","no","unknown","no",51
43,"technician","married","secondary","no",672,"yes","no","unknown","no",31
41,"services","married","primary","no",450,"yes","no","unknown","no",44
45,"","married","secondary","no",-31,"yes","no","unknown","no",29
41,"admin.","married","tertiary","no",5426,"yes","no","unknown","no",89
57,"technician","married","secondary","no",629,"yes","no","unknown","no",30
34,"self-employe","single","tertiary","no",2800,"yes","no","unknown","no",85
47,"services","","secondary","no",1549,"yes","no","unknown","no",53
49,"technician","married","secondary","no",6050,"yes","no","unknown","no",76
58,"blue-collar","","primary","no",1406,"yes","no","unknown","no",82
51,"unemployed","married","secondary","no",425,"yes","no","unknown","no",44
30,"management","married","tertiary","no",-328,"yes","no","unknown","no",48
47,"","divorced","secondary","no",430,"yes","yes","unknown","no",63
29,"technician","single","secondary","no",6911,"no","no","unknown","no",99
51,"blue-collar","married","primary","no",111,"yes","no","unknown","no",35
49,"housemaid","single","primary","no",1158,"yes","no","unknown","no",77
43,"services","married","secondary","no",823,"yes","no","unknown","no",9
41,"blue-collar","married","primary","no",410,"yes","no","unknown","no",58
29,"admin.","single","secondary","no",1028,"yes","no","unknown","no",80
42,"blue-collar","married","primary","no",1288,"yes","no","unknown","no",76
34,"blue-collar","single","secondary","yes",-115,"yes","no","unknown","no",64
44,"management","married","tertiary","no",474,"yes","yes","unknown","no",70
44,"","divorced","secondary","",50,"yes","no","unknown","no",52
30,"management","married","tertiary","no",233,"yes","no","unknown","no",57
26,"blue-collar","single","secondary","no",277,"no","no","unknown","no",73
28,"technician","single","secondary","no",280,"yes","no","unknown","no",36
42,"technician","married","tertiary","no",2106,"yes","yes","unknown","no",85
40,"housemaid","divorced","primary","no",2610,"yes","no","unknown","no",75
49,"retired","married","secondary","no",329,"yes","no","unknown","no",11
42,"admin.","divorced","secondary","no",1811,"yes","no","unknown","no",63
29,"admin.","married","secondary","no",387,"yes","yes","unknown","no",51
47,"blue-collar","married","primary","no",6439,"yes","no","unknown","no",78
42,"management","married","unknown","no",1333,"yes","no","unknown","no",51
45,"services","divorced","secondary","no",864,"yes","no","unknown","no",17
29,"admin.","single","secondary","no",900,"yes","no","unknown","no",26
41,"technician","married","tertiary","no",744,"yes","no","unknown","no",45
40,"blue-collar","single","unknown","no",4370,"yes","no","unknown","no",127
48,"admin.","married","secondary","no",6532,"yes","no","unknown","no",67
41,"blue-collar","married","primary","no",348,"yes","no","unknown","no",47
60,"retired","married","secondary","no",2077,"yes","no","unknown","no",50
44,"management","married","tertiary","no",1945,"no","no","unknown","no",94
49,"self-employe","single","tertiary","no",21,"yes","no","unknown","no",76
47,"management","divorced","tertiary","",4556,"yes","no","unknown","no",69
48,"technician","married","secondary","no",1764,"yes","no","unknown","no",46
44,"admin.","married","primary","no",248,"yes","no","unknown","no",37
40,"blue-collar","married","primary","no",0,"no","no","unknown","no",73
31,"services","married","secondary","no",37,"yes","no","unknown","no",20
29,"blue-collar","married","primary","",236,"yes","no","unknown","no",47
28,"student","single","secondary","no",246,"yes","no","unknown","no",61
43,"services","divorced","secondary","no",206,"yes","no","unknown","no",16
32,"services","married","secondary","no",162,"yes","no","unknown","no",31
31,"technician","divorced","secondary","no",976,"yes","no","unknown","no",19
42,"technician","married","secondary","no",645,"yes","yes","unknown","no",53
45,"blue-collar","married","primary","no",1794,"yes","no","unknown","no",67
31,"admin.","single","secondary","no",358,"yes","no","unknown","no",58
48,"technician","single","secondary","no",9131,"yes","no","unknown","no",63
45,"blue-collar","married","primary","no",532,"yes","no","unknown","no",40
27,"blue-collar","single","secondary","no",1150,"yes","no","unknown","no",73
55,"blue-collar","married","primary","no",680,"yes","no","unknown","no",43
45,"entrepreneur","married","secondary","no",245,"yes","no","unknown","no",46
50,"unemployed","married","secondary","no",-13,"yes","no","unknown","no",55
44,"unemployed","married","secondary","no",728,"yes","no","unknown","no",44
45,"admin.","married","secondary","no",137,"yes","no","unknown","no",10
51,"housemaid","married","primary","no",289,"no","no","unknown","no",50
30,"blue-collar","single","secondary","no",609,"yes","no","unknown","no",26
43,"blue-collar","married","secondary","no",15740,"yes","no","unknown","no",60
41,"blue-collar","married","primary","no",574,"yes","no","unknown","no",61
30,"blue-collar","married","primary","no",1480,"yes","no","unknown","no",70
41,"blue-collar","married","secondary","no",343,"yes","no","unknown","no",24
29,"blue-collar","married","secondary","no",670,"yes","yes","unknown","no",22
31,"admin.","married","secondary","no",413,"yes","no","unknown","no",25
40,"technician","single","secondary","no",277,"yes","no","unknown","no",48
41,"blue-collar","married","secondary","no",2157,"yes","no","unknown","no",48
43,"admin.","divorced","secondary","no",738,"yes","no","unknown","no",20
43,"blue-collar","married","primary","no",-101,"yes","no","unknown","no",53
50,"entrepreneur","married","tertiary","no",-52,"yes","no","unknown","no",45
40,"unemployed","divorced","secondary","no",262,"yes","no","unknown","no",26
23,"blue-collar","single","secondary","no",-95,"yes","no","unknown","no",35
37,"admin.","married","secondary","",66,"yes","no","unknown","no",14
47,"blue-collar","married","secondary","no",3630,"yes","no","unknown","no",46
29,"blue-collar","married","secondary","no",294,"yes","no","unknown","no",34
46,"technician","married","secondary","no",1465,"yes","no","unknown","no",49
31,"admin.","married","secondary","no",0,"yes","no","unknown","no",25
57,"technician","single","secondary","no",5961,"yes","no","unknown","no",95
54,"blue-collar","married","secondary","no",1487,"yes","no","unknown","no",56
44,"blue-collar","married","primary","no",-295,"yes","no","unknown","no",45
36,"blue-collar","married","secondary","no",0,"no","no","unknown","no",42
54,"blue-collar","married","secondary","no",219,"","no","unknown","no",28
38,"technician","married","secondary","no",1442,"yes","yes","unknown","no",84
38,"blue-collar","married","secondary","no",360,"yes","no","unknown","no",26
40,"blue-collar","married","secondary","no",339,"yes","no","unknown","no",27
46,"technician","married","secondary","no",1427,"yes","no","unknown","no",44
41,"admin.","single","secondary","no",30,"yes","no","unknown","no",60
33,"management","married","tertiary","no",483,"yes","no","unknown","no",37
36,"admin.","married","secondary","no",402,"yes","no","unknown","no",25
59,"retired","married","secondary","no",5678,"yes","no","unknown","no",66
40,"blue-collar","married","primary","no",0,"no","no","unknown","no",57
49,"blue-collar","married","secondary","no",2631,"yes","no","unknown","no",48
44,"blue-collar","married","primary","no",112,"yes","no","unknown","no",39
38,"admin.","married","secondary","no",664,"","no","unknown","no",41
44,"technician","married","secondary","no",2626,"yes","no","unknown","no",45
43,"technician","single","secondary","no",28,"yes","no","unknown","no",22
42,"blue-collar","married","primary","no",321,"yes","no","unknown","no",38
41,"","married","secondary","no",1794,"yes","no","unknown","no",61
52,"services","married","secondary","no",16,"yes","no","unknown","no",23
41,"technician","single","tertiary","no",6029,"yes","no","unknown","no",106
29,"blue-collar","married","secondary","no",416,"yes","no","unknown","no",22
36,"blue-collar","married","unknown","no",-389,"yes","no","unknown","no",33
42,"blue-collar","married","unknown","no",1260,"yes","no","unknown","no",64
34,"management","married","tertiary","",82,"no","no","unknown","no",74
35,"technician","married","secondary","no",94,"yes","yes","unknown","no",55
41,"blue-collar","divorced","secondary","no",5291,"yes","no","unknown","ye",82
57,"retired","married","","no",3401,"yes","no","unknown","no",68
46,"self-employe","married","secondary","no",0,"yes","yes","unknown","no",42
58,"admin.","married","secondary","no",-1196,"yes","yes","unknown","no",47
40,"blue-collar","married","secondary","no",810,"yes","no","unknown","no",11
57,"technician","divorced","secondary","no",3105,"yes","no","unknown","no",30
47,"technician","married","secondary","no",351,"yes","no","unknown","no",20
46,"blue-collar","single","secondary","no",2612,"yes","no","unknown","no",76
47,"blue-collar","divorced","primary","no",556,"yes","no","unknown","no",46
49,"blue-collar","divorced","primary","no",380,"yes","no","unknown","no",40
49,"blue-collar","married","primary","no",953,"yes","no","unknown","no",39
34,"","single","secondary","no",786,"yes","yes","unknown","no",88
52,"management","married","tertiary","no",601,"yes","no","unknown","no",43
47,"management","married","secondary","no",651,"yes","no","unknown","no",27
43,"technician","single","secondary","no",0,"yes","no","unknown","no",35
20,"student","single","tertiary","no",79,"yes","no","unknown","no",88
43,"services","married","secondary","",0,"yes","no","unknown","no",19
53,"admin.","married","secondary","no",4464,"yes","no","unknown","no",81
40,"self-employe","married","primary","no",422,"yes","no","unknown","no",47
52,"technician","married","secondary","",598,"no","no","unknown","no",49
43,"technician","divorced","tertiary","no",123,"no","no","unknown","no",68
55,"management","married","tertiary","no",0,"yes","no","unknown","no",46
41,"entrepreneur","married","secondary","no",718,"yes","no","unknown","no",26
36,"blue-collar","married","secondary","no",-406,"yes","yes","unknown","no",47
57,"","divorced","secondary","no",3625,"yes","no","unknown","no",66
30,"admin.","single","secondary","yes",-35,"yes","no","unknown","no",49
41,"management","married","tertiary","no",1132,"no","no","unknown","no",102
56,"services","married","secondary","no",1121,"yes","no","unknown","no",56
44,"blue-collar","married","primary","no",3407,"yes","no","unknown","no",63
45,"blue-collar","married","secondary","no",827,"yes","no","unknown","no",27
43,"retired","married","primary","no",471,"no","yes","unknown","no",66
50,"technician","married","tertiary","no",2938,"yes","no","unknown","no",45
26,"blue-collar","married","primary","no",-219,"yes","yes","unknown","no",48
34,"services","single","secondary","no",719,"yes","no","unknown","no",52
39,"admin.","married","primary","no",-439,"yes","no","unknown","no",36
32,"management","single","tertiary","no",0,"yes","no","unknown","no",55
46,"services","married","secondary","no",74,"yes","no","unknown","no",4
58,"management","married","tertiary","no",44,"yes","no","unknown","no",47
46,"entrepreneur","married","secondary","",52,"yes","no","unknown","no",17
40,"services","married","secondary","no",581,"yes","no","unknown","no",3
42,"management","married","primary","no",860,"yes","no","unknown","no",42
42,"unemployed","married","primary","no",259,"yes","no","unknown","no",79
50,"blue-collar","married","secondary","no",95,"yes","no","unknown","no",25
50,"management","married","tertiary","no",-516,"yes","no","unknown","no",56
42,"housemaid","single","primary","no",5774,"yes","no","unknown","no",109
41,"blue-collar","married","secondary","no",1384,"yes","no","unknown","ye",66
50,"blue-collar","married","primary","no",5131,"yes","no","unknown","no",94
42,"admin.","married","secondary","no",2918,"yes","no","unknown","no",30
46,"admin.","married","secondary","no",556,"yes","yes","unknown","ye",67
31,"admin.","married","secondary","no",2235,"yes","yes","unknown","no",64
50,"management","married","tertiary","yes",-143,"yes","no","unknown","no",63
52,"technician","divorced","primary","no",1500,"no","no","unknown","no",98
43,"admin.","single","secondary","no",56831,"no","no","unknown","no",87
57,"management","married","tertiary","no",2440,"yes","no","unknown","no",49
49,"admin.","single","secondary","",2040,"yes","no","unknown","no",51
30,"management","married","secondary","no",678,"yes","no","unknown","no",34
52,"technician","married","secondary","no",5006,"yes","no","unknown","no",53
41,"housemaid","married","","no",3291,"yes","no","unknown","no",69
30,"services","","secondary","no",543,"yes","no","unknown","no",19
46,"","married","secondary","no",4048,"yes","no","unknown","no",77
27,"services","married","secondary","no",0,"yes","no","unknown","no",35
46,"","married","secondary","no",3269,"yes","no","unknown","no",85
53,"entrepreneur","married","tertiary","no",420,"yes","no","unknown","no",48
51,"retired","","secondary","no",0,"no","no","unknown","no",43
47,"technician","married","secondary","no",201,"yes","no","unknown","no",4
60,"retired","married","secondary","no",2537,"yes","yes","unknown","no",51
47,"management","divorced","tertiary","no",107,"no","no","unknown","no",75
48,"services","married","secondary","no",6127,"yes","no","unknown","no",63
45,"blue-collar","married","secondary","no",4509,"yes","no","unknown","no",68
52,"blue-collar","divorced","primary","no",-191,"yes","no","unknown","ye",65
53,"retired","married","tertiary","no",183,"yes","no","unknown","no",54
54,"technician","married","tertiary","no",2883,"yes","yes","unknown","no",81
46,"admin.","divorced","secondary","no",2515,"yes","yes","unknown","no",64
48,"admin.","divorced","secondary","no",1108,"yes","no","unknown","no",53
43,"retired","married","secondary","no",56,"yes","yes","unknown","no",46
42,"unemployed","married","tertiary","no",1270,"yes","no","unknown","no",78
58,"retired","married","secondary","no",1894,"yes","no","unknown","no",50
48,"services","divorced","secondary","no",0,"yes","yes","unknown","no",58
45,"blue-collar","married","primary","no",2217,"yes","no","unknown","no",69
51,"admin.","married","primary","no",1330,"yes","no","unknown","no",66
39,"self-employe","single","unknown","no",3173,"no","no","unknown","ye",123
42,"technician","single","tertiary","no",2157,"yes","yes","unknown","no",96
44,"management","married","tertiary","no",1033,"yes","no","unknown","no",62
40,"services","married","secondary","no",4157,"yes","no","unknown","no",66
57,"management","married","secondary","no",3381,"yes","no","unknown","no",46
42,"technician","single","secondary","no",1882,"yes","no","unknown","no",81
58,"services","married","secondary","no",0,"yes","no","unknown","no",17
39,"services","divorced","secondary","no",1927,"yes","no","unknown","no",47
49,"services","divorced","secondary","no",3649,"yes","yes","unknown","no",75
46,"management","single","secondary","no",244,"yes","no","unknown","no",55
54,"technician","divorced","secondary","no",1705,"yes","no","unknown","no",68
60,"entrepreneur","married","tertiary","no",1164,"yes","no","unknown","no",58
42,"blue-collar","married","secondary","no",9359,"yes","no","unknown","no",72
43,"blue-collar","married","primary","no",1620,"yes","no","unknown","no",78
41,"self-employe","married","secondary","no",149,"yes","no","unknown","no",27
60,"retired","divorced","secondary","no",2479,"yes","yes","unknown","no",57
51,"entrepreneur","married","tertiary","no",6659,"yes","yes","unknown","no",115
48,"blue-collar","married","secondary","no",1913,"yes","no","unknown","no",48
41,"blue-collar","divorced","primary","no",1563,"yes","no","unknown","no",30
50,"blue-collar","","secondary","no",708,"yes","no","unknown","no",27
41,"blue-collar","married","primary","no",1172,"yes","no","unknown","no",52
60,"retired","married","secondary","no",2086,"yes","","unknown","no",27
54,"blue-collar","married","secondary","no",524,"yes","no","unknown","no",21
49,"entrepreneur","married","tertiary","no",221,"yes","no","unknown","no",18
47,"management","married","primary","no",52,"yes","yes","unknown","no",66
36,"blue-collar","single","secondary","no",-175,"yes","no","unknown","no",45
45,"blue-collar","married","secondary","no",-149,"yes","no","unknown","no",42
49,"","married","secondary","no",1530,"yes","no","unknown","no",52
47,"blue-collar","married","primary","no",-100,"yes","no","unknown","no",44
46,"admin.","married","secondary","no",1934,"no","yes","unknown","no",70
29,"management","married","tertiary","no",137,"yes","yes","unknown","no",94
44,"entrepreneur","married","primary","no",276,"yes","yes","unknown","no",59
52,"blue-collar","divorced","primary","",1758,"yes","no","unknown","no",66
33,"blue-collar","single","secondary","",49,"yes","no","unknown","no",46
43,"blue-collar","married","secondary","no",960,"yes","no","unknown","no",34
51,"blue-collar","married","primary","no",959,"yes","no","unknown","no",48
42,"blue-collar","single","secondary","no",1306,"yes","no","unknown","no",80
50,"","married","secondary","no",892,"yes","yes","unknown","no",59
58,"technician","married","secondary","no",5618,"yes","no","unknown","no",72
50,"blue-collar","married","unknown","no",605,"yes","no","unknown","no",57
56,"blue-collar","divorced","primary","no",5041,"yes","no","unknown","no",88
46,"blue-collar","","secondary","",1004,"yes","no","unknown","no",34
44,"blue-collar","single","primary","no",116,"yes","no","unknown","no",72
52,"admin.","married","secondary","no",225,"yes","no","unknown","no",25
55,"services","married","secondary","no",697,"yes","no","unknown","no",18
44,"blue-collar","married","primary","no",2467,"yes","no","unknown","no",46
46,"services","married","secondary","no",523,"no","no","unknown","no",57
47,"","divorced","secondary","no",106,"yes","no","unknown","no",50
40,"blue-collar","divorced","secondary","no",793,"yes","no","unknown","no",16
48,"blue-collar","married","primary","no",1757,"yes","no","unknown","no",62
34,"housemaid","married","primary","no",87,"yes","no","unknown","no",56
46,"blue-collar","divorced","secondary","no",1480,"yes","no","unknown","no",45
43,"unemployed","married","primary","no",960,"yes","yes","unknown","no",68
40,"blue-collar","married","primary","no",2651,"yes","no","unknown","no",75
39,"entrepreneur","married","secondary","no",0,"yes","no","unknown","no",47
57,"retired","married","primary","no",3123,"yes","no","unknown","no",70
54,"blue-collar","married","primary","no",950,"yes","no","unknown","no",40
46,"management","married","secondary","no",3714,"yes","no","unknown","no",27
41,"services","married","secondary","no",957,"yes","no","unknown","no",33
47,"services","married","secondary","no",3216,"yes","no","unknown","no",34
40,"blue-collar","married","secondary","no",8150,"yes","no","unknown","no",52
50,"","married","primary","no",2212,"yes","no","unknown","no",106
40,"blue-collar","married","primary","no",409,"yes","no","unknown","no",47
47,"","married","primary","yes",-1385,"yes","yes","unknown","no",96
57,"retired","divorced","tertiary","no",2516,"yes","no","unknown","no",65
47,"admin.","married","secondary","no",2354,"yes","no","unknown","no",48
44,"blue-collar","married","secondary","no",560,"yes","no","unknown","no",11
47,"blue-collar","married","secondary","no",5306,"yes","no","unknown","no",64
53,"entrepreneur","married","secondary","no",111,"yes","no","unknown","no",38
59,"blue-collar","married","primary","no",320,"yes","no","unknown","ye",61
40,"entrepreneur","married","secondary","no",0,"yes","yes","unknown","no",42
60,"entrepreneur","divorced","secondary","no",80,"yes","no","unknown","no",20
45,"entrepreneur","married","","no",1953,"yes","no","unknown","no",76
57,"blue-collar","married","secondary","no",2192,"no","no","unknown","no",81
45,"blue-collar","married","primary","",1992,"yes","no","unknown","no",48
44,"blue-collar","married","unknown","no",146,"yes","no","unknown","ye",61
21,"services","married","secondary","no",0,"yes","yes","unknown","no",35
42,"management","single","tertiary","no",2124,"yes","no","unknown","no",97
30,"blue-collar","married","secondary","no",2,"yes","no","unknown","no",26
57,"entrepreneur","married","secondary","no",1037,"yes","yes","unknown","no",70
53,"admin.","divorced","secondary","no",-394,"yes","no","unknown","no",25
51,"management","single","tertiary","no",6510,"no","no","unknown","no",127
53,"technician","married","tertiary","no",4323,"yes","no","unknown","no",84
54,"technician","married","tertiary","no",4582,"yes","no","unknown","no",79
44,"","married","tertiary","no",2400,"yes","no","unknown","no",83
56,"retired","married","secondary","no",1678,"yes","no","unknown","no",52
46,"technician","divorced","tertiary","no",405,"yes","no","unknown","no",50
45,"technician","married","secondary","no",3583,"yes","no","unknown","no",37
42,"blue-collar","married","primary","no",666,"yes","no","unknown","no",46
49,"admin.","single","secondary","no",716,"yes","no","unknown","ye",71
56,"retired","married","secondary","no",344,"yes","no","unknown","no",29
44,"blue-collar","single","secondary","no",641,"no","no","unknown","no",79
54,"entrepreneur","married","secondary","no",653,"yes","no","unknown","no",39
51,"self-employe","divorced","secondary","no",154,"yes","no","unknown","no",27
49,"blue-collar","single","primary","no",3018,"yes","no","unknown","no",74
45,"admin.","divorced","secondary","no",660,"yes","no","unknown","no",19
58,"retired","married","tertiary","no",2577,"yes","yes","unknown","no",94
53,"blue-collar","married","unknown","no",2785,"yes","no","unknown","no",67
42,"technician","married","secondary","no",1865,"yes","no","unknown","no",42
49,"unknown","married","primary","no",341,"yes","yes","unknown","ye",99
53,"admin.","single","secondary","no",1178,"yes","no","unknown","no",59
50,"services","single","secondary","no",516,"yes","no","unknown","no",46
53,"entrepreneur","married","tertiary","no",22370,"yes","no","unknown","no",84
